File	BHL Page ID	Instance of	Published In	Published In QID	Collection	Sponsor	Bibliography ID	Illustrator	Engraver	Lithographer	Ref URL for Authors	Inception	Names	Flickr ID	Flickr Tags
Oiseaux brillans du Brésil (20552729368).jpg	47697269	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20552729368	['Natural History Museum Library, London', 'bhl:page=47697269', 'dc:identifier=http://biodiversitylibrary.org/page/47697269', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=boat-billed flycatcher', 'taxonomy:binomial=Megarhynchus pitangua', 'taxonomy:common=Tyran Bem-te-Veo', 'taxonomy:binomial=Lanius pitanga']
Oiseaux brillans du Brésil (20552741978).jpg	47697281	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20552741978	['Natural History Museum Library, London', 'bhl:page=47697281', 'dc:identifier=http://biodiversitylibrary.org/page/47697281', 'bird', 'birds', 'ornithology', 'Brazil', 'bananas', 'fruit', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=yellow-winged tanager', 'taxonomy:binomial=Thraupis abbas', 'taxonomy:common=Tachyphone archeveque', 'taxonomy:binomial=Tachyphonus archiepiscopus']
Oiseaux brillans du Brésil (20552754240).jpg	47697285	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20552754240	['Natural History Museum Library, London', 'bhl:page=47697285', 'dc:identifier=http://biodiversitylibrary.org/page/47697285', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=Seven-colored tanager', 'taxonomy:binomial=Tangara fastuosa', 'taxonomy:common=Tangara Septicolor', 'taxonomy:binomial=Tanagra talao']
Oiseaux brillans du Brésil (20552772278).jpg	47697317	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20552772278	['Natural History Museum Library, London', 'bhl:page=47697317', 'dc:identifier=http://biodiversitylibrary.org/page/47697317', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=blue-naped chlorophonia', 'taxonomy:binomial=Chlorophonia cyanea', 'taxonomy:binomial=Euphonia galotii', 'taxonomy:common=Euphone Galot']
Oiseaux brillans du Brésil (20552783700).jpg	47697321	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20552783700	['Natural History Museum Library, London', 'bhl:page=47697321', 'dc:identifier=http://biodiversitylibrary.org/page/47697321', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Euphonia violacea', 'taxonomy:common=violaceous euphonia', 'taxonomy:common=Euphone Teite']
Oiseaux brillans du Brésil (20552787140).jpg	47697325	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20552787140	['Natural History Museum Library, London', 'bhl:page=47697325', 'dc:identifier=http://biodiversitylibrary.org/page/47697325', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Euphonia musica', 'taxonomy:common=Antillean euphonia', 'taxonomy:binomial=Euphonia cyanocephala', 'taxonomy:common=Euphone a Tete Bleue']
Oiseaux brillans du Brésil (20552792228).jpg	47697341	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20552792228	['Natural History Museum Library, London', 'bhl:page=47697341', 'dc:identifier=http://biodiversitylibrary.org/page/47697341', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:name=Jean-Theodore Descourtilz', 'artist:viaf=90724187', 'taxonomy:common=pin-tailed manakin', 'taxonomy:binomial=Ilicura militaris', 'taxonomy:binomial=Pipra militaris', 'taxonomy:common=Manakin Militaire']
Oiseaux brillans du Brésil (20552811438).jpg	47697361	Illustration			Natural History Museum Library, London			Q10340184		Q131861745				20552811438	['Natural History Museum Library, London', 'bhl:page=47697361', 'dc:identifier=http://biodiversitylibrary.org/page/47697361', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:common=Cassique huppé', 'taxonomy:binomial=Psarocolius decumanus', 'artist:name=Jean-Theodore Descourtilz', 'artist:viaf=90724187', 'taxonomy:common=crested oropendola', 'taxonomy:binomial=Cassicus cristatus']
Oiseaux brillans du Brésil (20552822618).jpg	47697373	Illustration			Natural History Museum Library, London			Q10340184		Q131861745				20552822618	['Natural History Museum Library, London', 'bhl:page=47697373', 'dc:identifier=http://biodiversitylibrary.org/page/47697373', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:name=Jean-Theodore Descourtilz', 'artist:viaf=90724187', 'taxonomy:binomial=Dacnis viridis', 'taxonomy:binomial=Chlorophanes spiza', 'taxonomy:common=green honeycreeper', 'taxonomy:common=Dacnis Spize', 'taxonomy:common=Banana Flower', 'HSA']
Oiseaux brillans du Brésil (20552841550).jpg	47697389	Illustration			Natural History Museum Library, London			Q10340184		Q131861745				20552841550	['Natural History Museum Library, London', 'bhl:page=47697389', 'dc:identifier=http://biodiversitylibrary.org/page/47697389', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:binomial=Trochilus moschilus', 'artist:viaf=90724187', 'artist:name=Jean-Theodore Descourtilz', 'taxonomy:binomial=Chrysolampis mosquitus', 'taxonomy:common=ruby-topaz hummingbird', 'taxonomy:common=Oiseau Mouche Rubis-Topaze', 'HistSciArt']
Oiseaux brillans du Brésil (20553889739).jpg	47697228	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20553889739	['Natural History Museum Library, London', 'bhl:page=47697228', 'dc:identifier=http://biodiversitylibrary.org/page/47697228', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:binomial=Psittacula barrabandi', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Pyrilia barrabandi', 'taxonomy:common=Orange-cheeked Parrot', 'BHLIG']
Oiseaux brillans du Brésil (20553988639).jpg	47697289	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20553988639	['Natural History Museum Library, London', 'bhl:page=47697289', 'dc:identifier=http://biodiversitylibrary.org/page/47697289', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=Green-headed tanager', 'taxonomy:binomial=Tangara seledon', 'taxonomy:common=Tangara Tricolor', 'taxonomy:binomial=Tanagra tricolor', 'HistSciArt']
Oiseaux brillans du Brésil (20553998389).jpg	47697301	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20553998389	['Natural History Museum Library, London', 'bhl:page=47697301', 'dc:identifier=http://biodiversitylibrary.org/page/47697301', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=brassy-breasted tanager', 'taxonomy:binomial=Tanagra thoracica', 'taxonomy:common=Tangara a Plastron']
