File	BHL Page ID	Instance of	Published In	Published In QID	Collection	Sponsor	Bibliography ID	Illustrator	Engraver	Lithographer	Ref URL for Authors	Inception	Names	Flickr ID	Flickr Tags
Oiseaux brillans du Brésil (20731385902).jpg	47697192	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20731385902	['Natural History Museum Library, London', 'bhl:page=47697192', 'dc:identifier=http://biodiversitylibrary.org/page/47697192', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:binomial=Thamnophilus torquatus', 'taxonomy:common=Rufous-winged antshrike', 'taxonomy:binomial=Heliophile taunay', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz']
Oiseaux brillans du Brésil (20731392632).jpg	47697200	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20731392632	['Natural History Museum Library, London', 'bhl:page=47697200', 'dc:identifier=http://biodiversitylibrary.org/page/47697200', 'bird', 'birds', 'ornithology', 'Brazil', '#StPatricksDay', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=bare-throated bellbird', 'taxonomy:binomial=Procnias nudicollis', 'taxonomy:common=Procne araponga', 'HistSciArt']
Oiseaux brillans du Brésil (20731413372).jpg	47697277	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20731413372	['Natural History Museum Library, London', 'bhl:page=47697277', 'dc:identifier=http://biodiversitylibrary.org/page/47697277', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:common=Brazilian tanager', 'taxonomy:binomial=Ramphocelus bresilius', 'taxonomy:binomial=Jacapa coccinea', 'taxonomy:common=Ramphocele Scarlatte']
Oiseaux brillans du Brésil (20731479962).jpg	47697357	Illustration			Natural History Museum Library, London			Q10340184		Q131861745				20731479962	['Natural History Museum Library, London', 'bhl:page=47697357', 'dc:identifier=http://biodiversitylibrary.org/page/47697357', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:name=Jean-Theodore Descourtilz', 'artist:viaf=90724187', 'taxonomy:binomial=Fringilla cucullata', 'taxonomy:binomial=Paroaria coronata', 'taxonomy:common=red-crested cardinal', 'taxonomy:common=Brazilian Cardinal', 'taxonomy:common=Fringille Paroare', 'HistSciArt']
Oiseaux brillans du Brésil (20731497642).jpg	47697377	Illustration			Natural History Museum Library, London			Q10340184		Q131861745				20731497642	['Natural History Museum Library, London', 'bhl:page=47697377', 'dc:identifier=http://biodiversitylibrary.org/page/47697377', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:name=Jean-Theodore Descourtilz', 'artist:viaf=90724187', 'taxonomy:binomial=Nectarynia cyanaea', 'taxonomy:binomial=Cyanerpes cyaneus', 'taxonomy:common=red-legged honeycreeper', 'taxonomy:common=Guit-Guit aux Ailes Variees', 'HistSciArt']
Oiseaux brillans du Brésil (20731503842).jpg	47697385	Illustration			Natural History Museum Library, London			Q10340184		Q131861745				20731503842	['Natural History Museum Library, London', 'bhl:page=47697385', 'dc:identifier=http://biodiversitylibrary.org/page/47697385', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean-Theodore Descourtilz', 'taxonomy:common=Oiseau-mouche-a-collier', 'taxonomy:binomial=Florisuga mellivora', 'taxonomy:common=white-necked jacobin', 'HistSciArt']
Oiseaux brillans du Brésil (20731518852).jpg	47697401	Illustration			Natural History Museum Library, London			Q10340184		Q131861745				20731518852	['Natural History Museum Library, London', 'bhl:page=47697401', 'dc:identifier=http://biodiversitylibrary.org/page/47697401', 'bird', 'birds', 'ornithology', 'Brazil', 'taxonomy:binomial=Trochilus furcalus', 'artist:name=Jean-Theodore Descourtilz', 'artist:viaf=90724187', 'taxonomy:binomial=Eupetomena macroura', 'taxonomy:common=swallow-tailed hummingbird', 'taxonomy:common=Oiseau Mouche Hirondelle', 'HistSciArt', 'BHLIG']
Oiseaux brillans du Brésil (20740660645).jpg	47697216	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20740660645	['Natural History Museum Library, London', 'bhl:page=47697216', 'dc:identifier=http://biodiversitylibrary.org/page/47697216', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Conurus versicolor', 'taxonomy:binomial=Pyrrhura picta', 'taxonomy:common=Painted Parakeet']
Oiseaux brillans du Brésil (20740677875).jpg	47697208	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20740677875	['Natural History Museum Library, London', 'bhl:page=47697208', 'dc:identifier=http://biodiversitylibrary.org/page/47697208', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Trogon rosalba', 'taxonomy:common=Collared Trogon', 'HistSciArt', 'BHLDailySciArt', 'BHLIG']
Oiseaux brillans du Brésil (20740681225).jpg	47697204	Illustration			Natural History Museum Library, London		103658	Q10340184		Q131861745				20740681225	['Natural History Museum Library, London', 'bhl:page=47697204', 'dc:identifier=http://biodiversitylibrary.org/page/47697204', 'bird', 'birds', 'ornithology', 'Brazil', 'artist:viaf=90724187', 'artist:name=Jean Theodore Descourtilz', 'taxonomy:binomial=Trogon oranga', 'taxonomy:binomial=Trogon rufus', 'taxonomy:common=Black-throated Trogon', 'HistSciArt']
